ratio,direct,diffuse
2.005765960483444,254.11941361180078,126.69444921208608
2.0033380296353935,254.27702190953306,126.92666846433868
2.023533738001515,254.2639581467691,125.65343160420227
2.006246609942321,254.27709654816346,126.74269219349551
2.0157711808398253,254.29726521280338,126.15383513264447
2.0146613579119466,254.4198740803868,126.2841881992887
2.0137499786283164,254.42945417095777,126.34609900493437
2.025329158082881,254.30084244939016,125.56025347015893
2.0212778401404172,254.23929876834063,125.78147037454225
2.0141805926467726,254.3810901253474,126.29507555281974
2.0276582545290966,254.3053216397476,125.41823607193977
2.0238017943822637,254.33534571567083,125.67206256149358
2.021925266427622,254.30627832801747,125.77432141066761
2.0224901720993063,254.38050204319907,125.7758903120686
2.002700886162288,254.38268211270372,127.01980803542219
2.0067721923443274,254.35690264666553,126.74926611850435
