 

stn;time;sremaxdv;su2000d0
LUZ;20170928;43;4.7
LUZ;20170929;57;6.1
LUZ;20170930;13;1.4
LUZ;20171001;9;1.0
LUZ;20171002;0;0.0
LUZ;20171003;19;2.0
LUZ;20171004;27;2.9
LUZ;20171005;94;9.7
LUZ;20171006;29;3.0
LUZ;20171007;81;8.3
LUZ;20171008;14;1.5
LUZ;20171009;0;0.0
LUZ;20171010;86;8.6
LUZ;20171011;100;10.0
LUZ;20171012;81;8.0
LUZ;20171013;100;9.8
LUZ;20171014;100;9.7
LUZ;20171015;100;9.7
LUZ;20171016;100;9.6
LUZ;20171017;99;9.4
LUZ;20171018;97;9.2
LUZ;20171019;82;7.7
LUZ;20171020;30;2.9
LUZ;20171021;28;2.6
LUZ;20171022;32;3.0
LUZ;20171023;1;0.1
LUZ;20171024;77;7.1
LUZ;20171025;95;8.7
LUZ;20171026;86;7.8
LUZ;20171027;3;0.2
LUZ;20171028;64;5.7
LUZ;20171029;0;0.0
LUZ;20171030;11;1.0
LUZ;20171031;99;8.6
LUZ;20171101;86;7.4
LUZ;20171102;61;5.2
LUZ;20171103;100;8.4
LUZ;20171104;59;4.9
LUZ;20171105;0;0.0
LUZ;20171106;0;0.0
LUZ;20171107;0;0.0
LUZ;20171108;5;0.4
LUZ;20171109;0;0.0
LUZ;20171110;1;0.1
LUZ;20171111;0;0.0
LUZ;20171112;8;0.7
LUZ;20171113;0;0.0
LUZ;20171114;25;1.9
LUZ;20171115;0;0.0
LUZ;20171116;0;0.0
LUZ;20171117;21;1.6
LUZ;20171118;0;0.0
LUZ;20171119;8;0.6
LUZ;20171120;0;0.0
LUZ;20171121;13;0.9
LUZ;20171122;89;6.5
LUZ;20171123;50;3.6
LUZ;20171124;55;4.0
LUZ;20171125;0;0.0
LUZ;20171126;4;0.3
LUZ;20171127;66;4.7
LUZ;20171128;9;0.6
LUZ;20171129;0;0.0
LUZ;20171130;0;0.0
LUZ;20171201;10;0.7
LUZ;20171202;27;1.9
LUZ;20171203;16;1.1
LUZ;20171204;0;0.0
LUZ;20171205;47;3.2
LUZ;20171206;0;0.0
LUZ;20171207;0;0.0
LUZ;20171208;0;0.0
LUZ;20171209;18;1.2
LUZ;20171210;0;0.0
LUZ;20171211;0;0.0
LUZ;20171212;0;0.0
LUZ;20171213;63;4.1
LUZ;20171214;0;0.0
LUZ;20171215;77;5.0
LUZ;20171216;0;0.0
LUZ;20171217;0;0.0
LUZ;20171218;0;0.0
LUZ;20171219;0;0.0
LUZ;20171220;0;0.0
LUZ;20171221;43;2.8
LUZ;20171222;0;0.0
LUZ;20171223;0;0.0
LUZ;20171224;0;0.0
LUZ;20171225;0;0.0
LUZ;20171226;17;1.1
LUZ;20171227;0;0.0
LUZ;20171228;0;0.0
LUZ;20171229;59;3.8
LUZ;20171230;0;0.0
LUZ;20171231;100;6.5
LUZ;20180101;78;5.1
LUZ;20180102;18;1.2
LUZ;20180103;0;0.0
LUZ;20180104;0;0.0
LUZ;20180105;25;1.7
LUZ;20180106;0;0.0
LUZ;20180107;0;0.0
LUZ;20180108;44;3.0
LUZ;20180109;17;1.2
LUZ;20180110;46;3.2
LUZ;20180111;24;1.7
LUZ;20180112;0;0.0
LUZ;20180113;5;0.4
LUZ;20180114;0;0.0
LUZ;20180115;30;2.1
LUZ;20180116;3;0.2
LUZ;20180117;3;0.2
LUZ;20180118;0;0.0
LUZ;20180119;37;2.7
LUZ;20180120;0;0.0
LUZ;20180121;0;0.0
LUZ;20180122;0;0.0
LUZ;20180123;1;0.1
LUZ;20180124;99;7.5
LUZ;20180125;14;1.1
LUZ;20180126;0;0.0
LUZ;20180127;0;0.0
LUZ;20180128;8;0.7
LUZ;20180129;100;7.8
LUZ;20180130;33;2.6
LUZ;20180131;13;1.1
LUZ;20180201;1;0.1
LUZ;20180202;57;4.6
LUZ;20180203;1;0.1
LUZ;20180204;14;1.2
LUZ;20180205;0;0.0
LUZ;20180206;26;2.2
LUZ;20180207;0;0.0
LUZ;20180208;0;0.0
LUZ;20180209;0;0.0
LUZ;20180210;0;0.0
LUZ;20180211;0;0.0
LUZ;20180212;41;3.6
LUZ;20180213;100;8.9
LUZ;20180214;40;3.6
LUZ;20180215;0;0.0
LUZ;20180216;0;0.0
LUZ;20180217;0;0.0
LUZ;20180218;0;0.0
LUZ;20180219;0;0.0
LUZ;20180220;0;0.0
LUZ;20180221;4;0.4
LUZ;20180222;0;0.0
LUZ;20180223;0;0.0
LUZ;20180224;0;0.0
LUZ;20180225;0;0.0
LUZ;20180226;0;0.0
LUZ;20180227;9;0.9
LUZ;20180228;58;5.7
LUZ;20180301;0;0.0
LUZ;20180302;0;0.0
LUZ;20180303;9;0.9
LUZ;20180304;61;6.3
LUZ;20180305;66;6.9
LUZ;20180306;7;0.8
LUZ;20180307;18;1.9
LUZ;20180308;77;8.1
LUZ;20180309;24;2.5
LUZ;20180310;8;0.9
LUZ;20180311;2;0.3
LUZ;20180312;25;2.7
LUZ;20180313;1;0.1
LUZ;20180314;57;6.2
LUZ;20180315;19;2.1
LUZ;20180316;23;2.5
LUZ;20180317;0;0.0
LUZ;20180318;0;0.0
LUZ;20180319;0;0.0
LUZ;20180320;4;0.5
LUZ;20180321;27;3.1
LUZ;20180322;53;6.0
LUZ;20180323;42;4.8
LUZ;20180324;99;11.4
LUZ;20180325;42;4.8
LUZ;20180326;2;0.3
LUZ;20180327;5;0.6
LUZ;20180328;9;1.1
LUZ;20180329;3;0.4
LUZ;20180330;34;4.0
LUZ;20180331;0;0.0
LUZ;20180401;22;2.7
LUZ;20180402;63;7.6
LUZ;20180403;72;8.7
LUZ;20180404;38;4.6
LUZ;20180405;46;5.6
LUZ;20180406;100;12.1
LUZ;20180407;98;12.0
LUZ;20180408;80;9.7
LUZ;20180409;36;4.4
LUZ;20180410;60;7.3
LUZ;20180411;61;7.5
LUZ;20180412;63;7.9
LUZ;20180413;38;4.7
LUZ;20180414;75;9.3
LUZ;20180415;15;1.9
LUZ;20180416;18;2.3
LUZ;20180417;90;11.4
LUZ;20180418;100;12.7
LUZ;20180419;99;12.7
LUZ;20180420;99;12.7
LUZ;20180421;100;12.8
LUZ;20180422;87;11.1
LUZ;20180423;42;5.4
LUZ;20180424;91;11.8
LUZ;20180425;79;10.3
LUZ;20180426;7;0.9
LUZ;20180427;94;12.3
LUZ;20180428;76;9.9
LUZ;20180429;57;7.5
LUZ;20180430;34;4.5
LUZ;20180501;2;0.3
LUZ;20180502;0;0.0
LUZ;20180503;0;0.0
LUZ;20180504;0;0.0
LUZ;20180505;6;0.8
LUZ;20180506;35;4.7
LUZ;20180507;73;9.9
LUZ;20180508;96;13.1
LUZ;20180509;60;8.2
LUZ;20180510;0;0.0
LUZ;20180511;71;9.8
LUZ;20180512;80;11.0
LUZ;20180513;0;0.1
LUZ;20180514;0;0.0
LUZ;20180515;1;0.2
LUZ;20180516;1;0.1
LUZ;20180517;9;1.3
LUZ;20180518;55;7.8
LUZ;20180519;33;4.7
LUZ;20180520;2;0.3
LUZ;20180521;72;10.2
LUZ;20180522;71;10.2
LUZ;20180523;26;3.7
LUZ;20180524;58;8.3
LUZ;20180525;96;13.8
LUZ;20180526;75;10.8
LUZ;20180527;47;6.7
LUZ;20180528;78;11.3
LUZ;20180529;30;4.3
LUZ;20180530;68;9.9
LUZ;20180531;46;6.8
LUZ;20180601;53;7.7
LUZ;20180602;63;9.2
LUZ;20180603;54;7.9
LUZ;20180604;38;5.6
LUZ;20180605;53;7.8
LUZ;20180606;35;5.2
LUZ;20180607;30;4.4
