,ratio,direct,diffuse
163,1.0,235.9755928853755,169.6150567313643
164,1.0,247.64594339622641,166.15452773572372
165,2.0,245.45498736890454,163.54923515126995
166,2.0,242.40337198116552,149.4291277070536
167,2.0,241.93440062475597,148.75868280339935
168,2.0,239.8207233065442,148.36946002280683
169,2.0,230.9444306930693,145.73722682668884
170,1.0,204.8132118451025,137.1773770242158
171,1.0,188.63841807909606,132.26062079835964
172,2.0,211.5733558178752,129.02970108044403
