img_nr,iso,ss,exp,r_avg,g_avg,b_avg
174,100,8649,8554,4381.82,4281.68,4381.88
175,100,8705,8611,4383.02,4282.52,4383.74
176,100,8762,8667,4385.28,4284.00,4385.81
177,100,8800,8705,4386.96,4285.11,4387.56
178,100,8856,8762,4388.83,4285.92,4389.75
179,100,8913,8819,4390.20,4287.04,4391.34
180,100,8951,8856,4391.55,4288.22,4392.65
181,100,9008,8913,4393.81,4288.94,4394.60
182,100,9064,8970,4395.91,4290.28,4396.73
183,100,9102,9008,4397.62,4291.35,4398.43
184,100,9159,9064,4398.75,4291.78,4399.43
185,100,9197,9102,4399.40,4292.33,4400.86
186,100,9253,9159,4401.89,4293.92,4402.56
187,100,9310,9216,4403.94,4295.21,4405.41
188,100,9348,9253,4404.73,4295.96,4406.09
189,100,9405,9310,4406.73,4297.27,4408.25
190,100,9461,9443,4409.58,4298.77,4411.25
191,100,9499,9443,4411.13,4298.90,4412.25
192,100,9556,9461,4411.95,4299.86,4413.68
193,100,9613,9518,4413.23,4300.83,4414.94
194,100,9650,9556,4414.17,4300.73,4415.78
195,100,9707,9613,4416.07,4302.51,4417.87
196,100,9764,9669,4418.43,4303.63,4420.06
197,100,9802,9707,4419.49,4304.31,4421.36
198,100,9858,9764,4421.23,4305.66,4423.54
199,100,9915,9821,4423.33,4306.79,4425.38
200,100,9953,9858,4424.66,4307.48,4426.59
201,100,10010,9915,4426.26,4308.27,4428.57
202,100,10047,9953,4428.24,4309.41,4430.44
203,100,10104,10010,4429.75,4310.42,4432.04
204,100,10161,10066,4431.71,4311.41,4434.25
205,100,10199,10104,4433.23,4312.46,4435.56
206,100,10255,10161,4434.57,4312.61,4436.85
207,100,10312,10218,4436.69,4314.59,4439.08
208,100,10350,10255,4437.11,4314.61,4439.30
209,100,10407,10312,4439.70,4316.08,4442.27
210,100,10463,10369,4441.03,4317.17,4443.52
211,100,10501,10407,4442.20,4318.20,4445.06
212,100,10558,10463,4444.06,4318.73,4446.81
213,100,10615,10520,4446.09,4320.13,4448.43
214,100,10652,10558,4447.50,4321.10,4449.81
215,100,10709,10615,4449.03,4321.56,4451.08
216,100,10747,10652,4450.12,4321.96,4452.81
217,100,10804,10709,4451.26,4323.35,4453.80
218,100,10860,10766,4452.73,4323.90,4455.66
219,100,10898,10804,4454.67,4324.80,4457.41
220,100,10955,10860,4455.46,4325.76,4458.04
221,100,11012,10917,4457.88,4327.29,4460.54
222,100,11049,10955,4459.32,4328.08,4462.33
223,100,11106,11012,4461.48,4329.61,4464.43
224,100,11163,11068,4463.71,4330.53,4465.96
225,100,11201,11106,4465.15,4331.10,4467.35
226,100,11257,11163,4466.92,4332.84,4470.38
227,100,11314,11219,4468.50,4333.61,4471.22
228,100,11352,11257,4469.59,4334.07,4472.53
229,100,11409,11314,4471.74,4334.91,4474.04
230,100,11465,11371,4472.59,4336.23,4475.54
231,100,11503,11409,4473.60,4336.70,4476.13
232,100,11560,11465,4475.61,4337.99,4477.54
233,100,11616,11522,4477.63,4339.33,4480.84
234,100,11654,11560,4478.86,4340.23,4481.68
235,100,11711,11616,4480.97,4341.22,4482.79
236,100,11749,11654,4480.82,4341.29,4483.61
237,100,11806,11806,4484.06,4343.26,4487.18
238,100,11862,11806,4485.16,4343.80,4487.02
239,100,11900,11806,4485.86,4344.77,4488.94
240,100,11957,11862,4488.43,4345.68,4490.44
241,100,12013,11919,4489.14,4346.55,4492.37
242,100,12051,11957,4491.83,4347.83,4494.36
243,100,12108,12013,4493.42,4348.83,4495.65
244,100,12165,12070,4494.72,4350.08,4497.62
245,100,12202,12108,4496.79,4351.15,4498.88
246,100,12259,12165,4497.58,4351.74,4500.95
247,100,12316,12221,4500.16,4353.39,4502.39
248,100,12354,12259,4501.14,4353.49,4503.67
249,100,12410,12316,4501.69,4354.27,4504.35
250,100,12448,12354,4503.28,4355.12,4505.42
251,100,12505,12410,4504.62,4356.24,4507.28
252,100,12562,12467,4506.72,4357.08,4509.22
253,100,12599,12505,4507.08,4357.38,4510.20
254,100,12656,12562,4509.81,4359.34,4511.87
255,100,12713,12618,4509.29,4358.90,4511.54
256,100,12751,12656,4509.96,4359.96,4513.17
257,100,12807,12713,4513.79,4362.51,4516.69
258,100,12864,12770,4516.14,4362.70,4518.09
259,100,12902,12807,4517.39,4364.23,4519.40
260,100,12959,12864,4519.98,4366.03,4522.48
261,100,13015,12921,4521.59,4366.55,4523.36
262,100,13053,12959,4523.62,4368.14,4526.25
