img_nr,iso,ss,exp,r_avg,g_avg,b_avg
1108,100,55379,55285,5755.85,5164.48,5758.07
1109,100,55436,55341,5754.98,5163.67,5757.34
1110,100,55474,55379,5759.88,5166.82,5762.56
1111,100,55530,55436,5756.55,5164.38,5759.07
1112,100,55587,55493,5760.44,5167.30,5763.20
1113,100,55625,55530,5760.33,5166.82,5762.05
1114,100,55682,55587,5759.85,5167.08,5762.56
1115,100,55738,55644,5760.35,5167.43,5763.30
1116,100,55776,55682,5764.31,5169.75,5766.58
1117,100,55833,55738,5766.32,5170.47,5768.38
1118,100,55890,55795,5770.83,5173.94,5773.43
1119,100,55927,55833,5764.12,5169.60,5766.77
1120,100,55984,55890,5768.21,5172.15,5770.64
1121,100,56041,55946,5775.39,5176.08,5777.19
1122,100,56079,55984,5776.48,5177.60,5778.14
1123,100,56135,56041,5774.82,5176.51,5777.65
1124,100,56192,56098,5776.80,5177.71,5779.21
1125,100,56230,56135,5778.22,5178.50,5780.64
1126,100,56287,56192,5777.39,5177.74,5779.91
1127,100,56343,56249,5778.84,5178.55,5781.00
1128,100,56381,56287,5784.51,5182.50,5787.05
1129,100,56438,56343,5781.37,5180.48,5784.17
1130,100,56476,56381,5785.67,5183.40,5788.62
1131,100,56532,56438,5788.38,5185.15,5791.09
1132,100,56589,56495,5791.30,5186.67,5793.42
1133,100,56627,56532,5793.51,5188.53,5796.02
1134,100,56684,56589,5795.96,5190.04,5798.87
1135,100,56740,56703,5797.53,5190.91,5799.81
1136,100,56778,56703,5797.69,5191.13,5800.37
1137,100,56835,56740,5796.41,5189.95,5798.60
1138,100,56892,56797,5801.39,5193.17,5803.77
1139,100,56929,56835,5802.30,5194.04,5804.78
1140,100,56986,56892,5802.52,5194.37,5805.28
1141,100,57043,56948,5802.48,5193.71,5804.10
1142,100,57081,56986,5806.16,5196.01,5808.60
1143,100,57137,57043,5806.93,5196.48,5809.97
1144,100,57175,57081,5811.36,5199.70,5813.88
1145,100,57232,57137,5814.47,5201.89,5817.22
1146,100,57289,57194,5815.39,5202.24,5817.89
1147,100,57326,57232,5811.54,5199.93,5814.57
1148,100,57383,57289,5816.40,5202.36,5818.30
1149,100,57440,57345,5818.86,5204.88,5821.31
1150,100,57478,57383,5822.57,5206.88,5825.37
1151,100,57534,57440,5823.95,5207.59,5826.36
1152,100,57591,57496,5822.21,5206.52,5824.65
1153,100,57629,57534,5824.87,5208.36,5827.27
1154,100,57686,57591,5821.88,5205.80,5824.44
1155,100,57742,57648,5823.29,5207.41,5825.62
1156,100,57780,57686,5828.43,5210.62,5830.39
1157,100,57837,57742,5830.43,5212.19,5832.33
1158,100,57893,57799,5830.84,5211.87,5832.76
1159,100,57931,57837,5833.21,5213.62,5835.35
1160,100,57988,57893,5834.09,5214.25,5836.66
1161,100,58026,57931,5835.07,5215.04,5837.98
1162,100,58082,57988,5838.57,5216.97,5840.42
1163,100,58139,58045,5839.65,5217.67,5841.87
1164,100,58177,58082,5839.21,5217.67,5841.93
1165,100,58234,58139,5840.32,5218.07,5842.38
1166,100,58290,58196,5840.39,5218.26,5842.66
1167,100,58328,58234,5844.59,5220.88,5847.06
1168,100,58385,58290,5847.50,5222.67,5849.63
1169,100,58442,58347,5847.48,5223.27,5850.20
1170,100,58479,58385,5847.06,5222.46,5849.46
1171,100,58536,58442,5851.67,5225.26,5853.89
1172,100,58593,58498,5849.13,5223.95,5851.27
1173,100,58631,58536,5852.12,5225.34,5854.22
1174,100,58687,58593,5851.86,5225.59,5854.07
1175,100,58744,58650,5853.35,5226.74,5855.48
1176,100,58782,58687,5851.78,5225.70,5854.31
1177,100,58839,58744,5858.11,5229.58,5860.26
1178,100,58876,58782,5859.74,5230.49,5861.96
1179,100,58933,58839,5861.62,5231.96,5863.84
1180,100,58990,58895,5859.25,5230.37,5861.39
1181,100,59028,58933,5862.71,5232.19,5864.71
1182,100,59084,59066,5863.45,5232.66,5865.82
1183,100,59141,59066,5863.59,5232.97,5865.92
1184,100,59179,59084,5867.63,5235.57,5870.20
1185,100,59236,59141,5865.62,5234.65,5867.32
1186,100,59292,59198,5866.17,5235.12,5868.58
1187,100,59330,59236,5868.30,5236.44,5870.66
1188,100,59387,59292,5867.41,5236.00,5869.57
1189,100,59444,59349,5870.02,5237.18,5872.23
1190,100,59481,59387,5871.75,5238.83,5874.73
1191,100,59538,59444,5876.27,5241.52,5878.87
1192,100,59595,59500,5877.09,5242.04,5879.74
1193,100,59633,59538,5879.35,5243.00,5881.65
1194,100,59689,59595,5882.88,5245.65,5885.49
1195,100,59727,59633,5840.99,5219.36,5843.01
1196,100,59784,59689,5887.71,5248.27,5889.70
1197,100,59841,59746,5892.79,5252.12,5895.75
1198,100,59878,59784,5892.13,5251.65,5894.51
1199,100,59935,59841,5893.89,5252.81,5897.27
1200,100,59992,59897,5897.02,5254.35,5899.08
1201,100,60030,59935,5899.15,5255.97,5901.47
1202,100,60086,59992,5898.69,5256.11,5901.73
1203,100,60143,60049,5901.05,5257.07,5903.46
1204,100,60181,60086,5902.30,5257.76,5904.31
1205,100,60238,60143,5900.42,5256.73,5903.28
1206,100,60294,60200,5902.55,5258.23,5905.41
1207,100,60332,60238,5906.05,5260.21,5908.20
1208,100,60389,60294,5901.15,5257.10,5904.20
1209,100,60445,60351,5903.72,5258.45,5906.56
1210,100,60483,60389,5903.94,5258.66,5906.03
1211,100,60540,60445,5907.36,5260.86,5909.56
1212,100,60578,60483,5909.91,5262.86,5912.42
1213,100,60635,60540,5912.29,5264.56,5914.75
1214,100,60691,60597,5913.29,5264.80,5915.58
1215,100,60729,60635,5916.69,5267.09,5919.47
1216,100,60786,60691,5921.34,5270.37,5924.38
1217,100,60842,60748,5923.54,5271.57,5926.41
1218,100,60880,60786,5921.09,5269.89,5923.87
1219,100,60937,60842,5922.03,5270.15,5923.92
1220,100,60994,60899,5922.67,5271.26,5925.91
1221,100,61032,60937,5922.31,5270.85,5924.64
1222,100,61088,60994,5925.01,5272.31,5927.58
1223,100,61145,61050,5927.94,5274.25,5930.38
1224,100,61183,61088,5927.58,5274.30,5930.75
1225,100,61239,61145,5929.01,5275.65,5931.65
1226,100,61296,61202,5931.01,5276.32,5933.35
1227,100,61334,61239,5930.56,5276.23,5933.64
1228,100,61391,61296,5929.33,5275.37,5931.98
1229,100,61429,61429,5932.14,5277.18,5934.01
1230,100,61485,61429,5935.67,5279.27,5938.36
1231,100,61542,61447,5937.17,5280.45,5939.59
1232,100,61580,61485,5937.27,5280.39,5939.44
1233,100,61636,61542,5940.54,5282.42,5943.28
1234,100,61693,61599,5939.33,5281.94,5941.86
1235,100,61731,61636,5937.47,5280.42,5939.59
1236,100,61788,61693,5942.92,5284.64,5945.90
1237,100,61844,61750,5945.01,5285.32,5947.42
1238,100,61882,61788,5949.08,5287.96,5951.69
1239,100,61939,61844,5948.13,5287.65,5950.79
1240,100,61996,61901,5951.04,5289.17,5953.16
1241,100,62033,61939,5951.82,5289.67,5953.83
1242,100,62090,61996,5956.06,5292.14,5958.04
1243,100,62128,62033,5953.03,5290.46,5955.80
1244,100,62185,62090,5951.18,5289.20,5953.73
1245,100,62241,62147,5953.30,5291.05,5955.45
1246,100,62279,62185,5956.53,5292.78,5959.01
1247,100,62336,62241,5956.18,5293.02,5959.52
1248,100,62393,62298,5959.50,5294.71,5961.81
1249,100,62430,62336,5954.65,5292.05,5957.15
1250,100,62487,62393,5958.84,5294.60,5961.70
1251,100,62544,62449,5959.78,5294.56,5961.80
1252,100,62582,62487,5958.47,5293.98,5961.95
1253,100,62638,62544,5961.48,5295.65,5963.59
1254,100,62695,62601,5964.41,5298.17,5966.94
1255,100,62733,62638,5967.02,5298.96,5969.53
1256,100,62790,62695,5967.49,5299.53,5970.14
1257,100,62846,62752,5968.15,5300.56,5971.01
1258,100,62884,62790,5969.19,5300.93,5971.37
1259,100,62941,62846,5968.90,5300.90,5971.46
1260,100,62979,62884,5980.69,5308.05,5982.97
1261,100,63035,62941,5980.76,5308.31,5983.56
1262,100,63092,62998,5983.30,5309.95,5985.59
1263,100,63130,63035,5982.97,5309.70,5985.95
1264,100,63187,63092,5987.92,5312.67,5990.58
1265,100,63243,63149,5986.27,5311.81,5988.66
1266,100,63281,63187,5979.48,5307.91,5981.96
1267,100,63338,63243,5984.24,5310.63,5986.72
1268,100,63395,63300,5987.08,5312.27,5989.06
1269,100,63432,63338,5988.36,5313.15,5991.11
1270,100,63489,63395,5989.20,5313.85,5992.07
1271,100,63546,63451,5987.89,5313.16,5990.28
1272,100,63584,63489,5992.94,5315.91,5995.27
1273,100,63640,63546,5998.66,5319.47,6001.31
1274,100,63697,63602,5998.39,5319.22,6000.55
1275,100,63735,63640,5995.67,5318.16,5998.10
1276,100,63792,63792,5993.46,5316.36,5995.74
1277,100,63829,63792,5996.90,5318.91,5999.31
1278,100,63886,63792,5998.21,5320.11,6001.19
1279,100,63943,63848,6002.47,5322.02,6005.44
1280,100,63981,63886,6007.86,5325.35,6009.65
1281,100,64037,63943,6005.08,5323.62,6007.41
1282,100,64094,63999,6011.82,5328.51,6014.62
1283,100,64132,64037,6014.49,5329.61,6016.84
1284,100,64188,64094,6015.26,5330.59,6017.99
1285,100,64245,64151,6016.02,5330.68,6018.63
1286,100,64283,64188,5975.17,5305.11,5977.52
1287,100,64340,64245,6018.32,5332.31,6021.22
1288,100,64396,64302,6021.37,5334.37,6023.98
1289,100,64434,64340,6023.70,5335.59,6025.76
1290,100,64491,64396,6023.43,5335.64,6025.79
1291,100,64548,64453,6017.83,5332.44,6021.07
1292,100,64585,64491,6013.93,5329.84,6016.61
1293,100,64642,64548,6018.35,5332.46,6021.28
1294,100,64680,64585,6020.00,5333.76,6022.78
1295,100,64737,64642,6025.53,5337.35,6028.10
1296,100,64793,64699,6030.44,5340.22,6033.04
1297,100,64831,64737,6030.22,5339.96,6032.90
1298,100,64888,64793,6031.36,5340.73,6034.11
1299,100,64945,64850,6032.06,5341.26,6034.80
1300,100,64982,64888,6035.45,5342.97,6038.19
1301,100,65039,64945,6039.49,5345.92,6042.00
1302,100,65096,65001,6038.98,5345.30,6041.47
1303,100,65134,65039,6042.56,5347.95,6044.61
1304,100,65190,65096,6048.00,5351.40,6051.19
1305,100,65247,65153,6047.95,5351.35,6050.62
1306,100,65285,65190,6048.37,5352.12,6051.35
1307,100,65342,65247,6052.10,5353.93,6054.82
1308,100,65398,65304,6051.02,5353.33,6053.80
1309,100,65436,65342,6051.82,5353.54,6054.22
1310,100,65493,65398,6052.61,5354.28,6055.22
1311,100,65531,65436,6052.34,5354.52,6055.04
1312,100,65587,65493,6056.18,5356.62,6058.53
1313,100,65644,65550,6058.72,5358.34,6061.44
1314,100,65682,65587,6059.67,5359.03,6062.56
1315,100,65739,65644,6069.49,5364.79,6071.73
1316,100,65795,65701,6040.79,5347.03,6043.67
1317,100,65833,65739,6042.61,5348.37,6045.10
1318,100,65890,65795,6044.97,5349.70,6047.88
1319,100,65947,65852,6045.08,5349.66,6047.06
1320,100,65984,65890,6038.56,5345.60,6041.01
